Baseline 100%T,,sample4,,sample5,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
600.0294189,0.1574631482,600.0294189,-2.226136166E-5,600.0294189,-0.000171745327,
598.9921265,0.1571425796,598.9921265,0.0002073961223,598.9921265,0.0001320126175,
597.9544678,0.156780839,597.9544678,0.0002178073773,597.9544678,0.0002155541733,
597.0648804,0.1561978608,597.0648804,-5.963717558E-5,597.0648804,0.0001858233445,
596.0267334,0.1564789861,596.0267334,-0.0001389854151,596.0267334,0.0004802689655,
594.9883423,0.1563544869,594.9883423,0.0001833372371,594.9883423,0.0004307230702,
593.949646,0.1558788568,593.949646,0.0002554660896,593.949646,0.0006800128613,
593.059082,0.1558824927,593.059082,0.0005248702946,593.059082,0.0007386108045,
592.0198364,0.1559082121,592.0198364,0.0005082576536,592.0198364,0.000681516598,
590.9803467,0.1558258235,590.9803467,0.0005009493325,590.9803467,0.0003361040144,
589.9405518,0.1552812159,589.9405518,0.0009040499572,589.9405518,0.0007058883202,
589.0491333,0.1554351002,589.0491333,0.0003487722424,589.0491333,0.000551695528,
588.0087891,0.1549780071,588.0087891,0.001145098591,588.0087891,0.001016280497,
586.9682007,0.1552262157,586.9682007,0.0007319987053,586.9682007,0.0006384805893,
585.9273682,0.1550717801,585.9273682,0.0005537430989,585.9273682,0.000545708288,
585.0349731,0.154947862,585.0349731,0.0007182562258,585.0349731,0.0004750342341,
583.9935913,0.1546144336,583.9935913,0.0008121805149,583.9935913,0.0005898497766,
582.9519653,0.154330343,582.9519653,0.001002243604,582.9519653,0.0006977988523,
582.0588989,0.1541484892,582.0588989,0.00107596186,582.0588989,0.0008662571781,
581.0167847,0.1536486447,581.0167847,0.001384515315,581.0167847,0.001197711215,
579.9743042,0.153508842,579.9743042,0.001447753515,579.9743042,0.00101731834,
578.9316406,0.1533399671,578.9316406,0.00117050868,578.9316406,0.001021910924,
578.0376587,0.1530117542,578.0376587,0.001258403994,578.0376587,0.001007173327,
576.9944458,0.1525725275,576.9944458,0.001452610362,576.9944458,0.001469492912,
575.9509888,0.1522435993,575.9509888,0.001522040926,575.9509888,0.001837878372,
575.0563354,0.1516426057,575.0563354,0.001757143065,575.0563354,0.002138363197,
574.0123291,0.1515042931,574.0123291,0.001606110134,574.0123291,0.001740223262,
572.9680786,0.1509680897,572.9680786,0.001729229698,572.9680786,0.00172197877,
572.0728149,0.1501736641,572.0728149,0.001831847359,572.0728149,0.00148073968,
571.0280151,0.1501945406,571.0280151,0.001652074512,571.0280151,0.001311964937,
569.9830322,0.1498766989,569.9830322,0.001650489401,569.9830322,0.001337177004,
568.9376831,0.1491919458,568.9376831,0.00175846857,568.9376831,0.001419028966,
568.0415039,0.148817867,568.0415039,0.001944161952,568.0415039,0.001663014176,
566.9957275,0.1479291618,566.9957275,0.001947516226,566.9957275,0.001616373076,
565.949646,0.1472438872,565.949646,0.001745967078,565.949646,0.001494714059,
565.0527954,0.1470608413,565.0527954,0.001721692854,565.0527954,0.001253341557,
564.0062256,0.1465733647,564.0062256,0.001752022887,564.0062256,0.001515442855,
562.9594116,0.1469139904,562.9594116,0.001994790975,562.9594116,0.001730529126,
562.0618896,0.1457127631,562.0618896,0.001785240136,562.0618896,0.001342577976,
561.0145874,0.145271644,561.0145874,0.001631677034,561.0145874,0.001367376302,
559.96698,0.144810766,559.96698,0.001828909852,559.96698,0.001499233767,
559.0688477,0.1444470137,559.0688477,0.00149668823,559.0688477,0.001508325338,
558.020813,0.1448964477,558.020813,0.001375452266,558.020813,0.001293452806,
556.9724121,0.1436201334,556.9724121,0.001731646713,556.9724121,0.001450999989,
556.0736694,0.1439942271,556.0736694,0.001867358456,556.0736694,0.00145559723,
555.0248413,0.1440367103,555.0248413,0.001317002112,555.0248413,0.001103651593,
553.975708,0.1435684264,553.975708,0.001451779157,553.975708,0.00113655976,
552.9263916,0.1427802444,552.9263916,0.001537627308,552.9263916,0.001383138937,
552.0267334,0.1425746679,552.0267334,0.001503727632,552.0267334,0.001368285157,
550.9768677,0.1426727027,550.9768677,0.001537341508,550.9768677,0.001226940309,
549.9267578,0.1428593397,549.9267578,0.001507572015,549.9267578,0.001027152291,
549.0264893,0.1428321153,549.0264893,0.001613670844,549.0264893,0.001481778687,
547.9758911,0.1426274776,547.9758911,0.001601901022,547.9758911,0.001677592169,
546.9250488,0.1421282738,546.9250488,0.001915430534,546.9250488,0.001689987723,
546.0241089,0.1425643563,546.0241089,0.001655322616,546.0241089,0.001364857424,
544.9728394,0.1434947252,544.9728394,0.001250719535,544.9728394,0.001213519601,
544.0714722,0.1434713751,544.0714722,0.001763874781,544.0714722,0.001574257505,
543.0196533,0.1446494758,543.0196533,0.002161724027,543.0196533,0.001710725715,
541.9676514,0.144718796,541.9676514,0.002350270748,541.9676514,0.00200404902,
541.0656738,0.1424223632,541.0656738,0.002830124693,541.0656738,0.002256663749,
540.0131226,0.1435699761,540.0131226,0.00291528157,540.0131226,0.002698748372,
538.9603271,0.1449593604,538.9603271,0.003005433595,538.9603271,0.002747433493,
538.0577393,0.1456600577,538.0577393,0.00373251969,538.0577393,0.003389916848,
537.0045166,0.1464879364,537.0045166,0.00435732305,537.0045166,0.004096010234,
535.9509888,0.1461432427,535.9509888,0.004881415982,535.9509888,0.00465696631,
535.0477905,0.1483349353,535.0477905,0.005655262619,535.0477905,0.005306344479,
533.9937744,0.1491517276,533.9937744,0.006509392988,533.9937744,0.006274042185,
532.9395752,0.1470029503,532.9395752,0.00759179797,532.9395752,0.007302943617,
532.0357666,0.148704946,532.0357666,0.008693043143,532.0357666,0.008394033648,
530.9810181,0.1509634256,530.9810181,0.01128223166,530.9810181,0.01075662486,
529.9260864,0.1523600966,529.9260864,0.01337161008,529.9260864,0.01286434755,
529.0216675,0.1514832079,529.0216675,0.015346881,529.0216675,0.01505285129,
527.9662476,0.1508425474,527.9662476,0.01868277788,527.9662476,0.01848479174,
527.0614014,0.1511299461,527.0614014,0.02226517349,527.0614014,0.0220876094,
526.0054932,0.1521073729,526.0054932,0.02825246379,526.0054932,0.02796348184,
524.9494019,0.1522226185,524.9494019,0.0364513658,524.9494019,0.0364247337,
524.0439453,0.1532176137,524.0439453,0.04497662187,524.0439453,0.04458788037,
522.9873657,0.1538442969,522.9873657,0.05814658105,522.9873657,0.05768349394,
521.930542,0.154440552,521.930542,0.07286419719,521.930542,0.0728603974,
521.0244751,0.1548273116,521.0244751,0.08937536925,521.0244751,0.08909122646,
519.9671631,0.1555122733,519.9671631,0.1159114763,519.9671631,0.1155496836,
519.06073,0.1555398554,519.06073,0.1430392563,519.06073,0.1422468573,
518.0029907,0.1554210633,518.0029907,0.177692309,518.0029907,0.1759665012,
516.9450073,0.1560781151,516.9450073,0.2200037092,516.9450073,0.2173690945,
516.0379639,0.1563248038,516.0379639,0.2536674738,516.0379639,0.2504012287,
514.9794922,0.1567395031,514.9794922,0.3009025455,514.9794922,0.2972287536,
514.0720825,0.1570856422,514.0720825,0.3523211479,514.0720825,0.3469281793,
513.0131836,0.1571925879,513.0131836,0.4047060013,513.0131836,0.3980950415,
511.9540405,0.1572308689,511.9540405,0.4548978806,511.9540405,0.446593225,
511.0460205,0.1573187411,511.0460205,0.4883491695,511.0460205,0.479867667,
509.9864197,0.1573869735,509.9864197,0.5234232545,509.9864197,0.5135256052,
508.9266052,0.1573108882,508.9266052,0.5501337647,508.9266052,0.5388208628,
508.0179749,0.1575075388,508.0179749,0.5671365857,508.0179749,0.5553962588,
506.9577026,0.1575676203,506.9577026,0.5736302733,506.9577026,0.5615614057,
506.0487061,0.1578136683,506.0487061,0.5708144307,506.0487061,0.5591874719,
504.9880066,0.1578298658,504.9880066,0.5613127947,504.9880066,0.5495018363,
503.9270325,0.1576754302,503.9270325,0.5449109077,503.9270325,0.5338171721,
503.0174561,0.1573141664,503.0174561,0.5255532861,503.0174561,0.515204668,
501.9560547,0.1577125639,501.9560547,0.4965547621,501.9560547,0.4869945347,
501.0461121,0.1574600339,501.0461121,0.4741587341,501.0461121,0.4651653469,
499.9842529,0.1570682526,499.9842529,0.4470262825,499.9842529,0.438655287,
499.0739441,0.1570192277,499.0739441,0.427829355,499.0739441,0.4197841883,
498.0116577,0.156650424,498.0116577,0.4021111429,498.0116577,0.3947076797,
496.9491577,0.1560249478,496.9491577,0.3767254949,496.9491577,0.3704122305,
496.0382385,0.155676946,496.0382385,0.3575203717,496.0382385,0.3513904214,
494.9752808,0.1558058411,494.9752808,0.3373636603,494.9752808,0.3319710791,
494.0639954,0.1557433009,494.0639954,0.3232869208,494.0639954,0.3180868626,
493.0006104,0.1568718404,493.0006104,0.3074854314,493.0006104,0.3024978638,
491.9370117,0.1557189524,491.9370117,0.2951487303,491.9370117,0.2904172838,
491.0251465,0.1545083523,491.0251465,0.2841850817,491.0251465,0.279722333,
489.9611206,0.1554064453,489.9611206,0.272700429,489.9611206,0.2685146332,
489.0488892,0.1557193995,489.0488892,0.2642094493,489.0488892,0.2599219382,
487.9844055,0.1549989432,487.9844055,0.2564662397,487.9844055,0.2523598969,
487.0718079,0.1542462558,487.0718079,0.2507504523,487.0718079,0.2468115091,
486.0069275,0.1551839262,486.0069275,0.2434006333,486.0069275,0.2395969033,
484.941803,0.1565480232,484.941803,0.2372312695,484.941803,0.2334401608,
484.0286255,0.1550211012,484.0286255,0.2340041548,484.0286255,0.2302857637,
482.9630737,0.1545725614,482.9630737,0.2312683612,482.9630737,0.2278244942,
482.0495605,0.1545280367,482.0495605,0.2293126136,482.0495605,0.2257294506,
480.9835815,0.1557668597,480.9835815,0.227843076,480.9835815,0.2244434655,
480.0697021,0.156804353,480.0697021,0.2268845886,480.0697021,0.2233175188,
479.0032959,0.1575867832,479.0032959,0.2254611254,479.0032959,0.22204189,
477.936676,0.1579475999,477.936676,0.2235400081,477.936676,0.2198067009,
477.0222473,0.1587342024,477.0222473,0.2210513502,477.0222473,0.2171774954,
475.9552002,0.1592309773,475.9552002,0.216738224,475.9552002,0.2132935524,
475.0404053,0.1598090231,475.0404053,0.2118913084,475.0404053,0.2085305303,
473.9729309,0.1606941372,473.9729309,0.2041492611,473.9729309,0.2008199692,
473.0578003,0.1609602571,473.0578003,0.1966889948,473.0578003,0.1936549693,
471.9899292,0.1614928097,471.9899292,0.1876073927,471.9899292,0.1847266704,
471.0744019,0.1618471295,471.0744019,0.1806978285,471.0744019,0.1778185219,
470.006134,0.1624095589,470.006134,0.1704866141,470.006134,0.1679139882,
468.9376221,0.1631229371,468.9376221,0.1591137052,468.9376221,0.1564282924,
468.0215454,0.1635563672,468.0215454,0.1489013135,468.0215454,0.1467062235,
466.9526367,0.1637366861,466.9526367,0.1392050534,466.9526367,0.1372637898,
466.0362244,0.1641433686,466.0362244,0.1318163425,466.0362244,0.1300360709,
464.9668884,0.1645671129,464.9668884,0.1235874221,464.9668884,0.1218360737,
464.0501404,0.1645105481,464.0501404,0.1165670082,464.0501404,0.1149554923,
462.9804077,0.1650222391,462.9804077,0.1084568352,462.9804077,0.1070648655,
462.063324,0.1666061878,462.063324,0.1027617529,462.063324,0.1012720764,
460.9931641,0.167127654,460.9931641,0.09656669945,460.9931641,0.09521783888,
460.0757141,0.1669245511,460.0757141,0.09251756966,460.0757141,0.09139212221,
459.0051575,0.1661940366,459.0051575,0.08769524097,459.0051575,0.08638612181,
457.9343872,0.1660817116,457.9343872,0.0818098411,457.9343872,0.08055838943,
457.0164185,0.1664820164,457.0164185,0.07754526287,457.0164185,0.07632512599,
455.9452515,0.1666954756,455.9452515,0.07320516557,455.9452515,0.07223176211,
455.026947,0.1668706387,455.026947,0.06994433701,455.026947,0.06881190836,
453.9553833,0.1673490405,453.9553833,0.06607206911,453.9553833,0.06518401206,
453.0367126,0.1683976203,453.0367126,0.0632416904,453.0367126,0.06220812351,
451.9647522,0.1684915423,451.9647522,0.05968169495,451.9647522,0.05903425813,
451.0457458,0.1688275933,451.0457458,0.05715062469,451.0457458,0.05645181984,
449.9733887,0.1690253317,449.9733887,0.05437995493,449.9733887,0.05378818139,
449.0540466,0.169240877,449.0540466,0.05248621479,449.0540466,0.05177926272,
447.9812927,0.1691744477,447.9812927,0.04983057454,447.9812927,0.04932713881,
447.061615,0.1691765934,447.061615,0.0473716706,447.061615,0.04673040658,
445.9884644,0.1690972596,445.9884644,0.04498635232,445.9884644,0.04444551468,
445.0684509,0.169349134,445.0684509,0.04282236844,445.0684509,0.04232601821,
443.9949036,0.1695733368,443.9949036,0.04062758014,443.9949036,0.04001643136,
443.0745544,0.1699316651,443.0745544,0.03847488388,443.0745544,0.03800421208,
442.0006104,0.1702192277,442.0006104,0.03596344963,442.0006104,0.03535958007,
440.9264832,0.1698964089,440.9264832,0.03328212723,440.9264832,0.03287165985,
440.0056152,0.1699809432,440.0056152,0.03143553063,440.0056152,0.03095343336,
438.9310913,0.1703062207,438.9310913,0.02945574559,438.9310913,0.02883241512,
438.0099182,0.1690499336,438.0099182,0.0279853195,438.0099182,0.02775023878,
436.9349976,0.1693104506,436.9349976,0.02630135231,436.9349976,0.02598508261,
436.0134888,0.1706762016,436.0134888,0.02470074035,436.0134888,0.02436838485,
434.9382019,0.169584468,434.9382019,0.02302856185,434.9382019,0.02294089645,
434.0163574,0.1704543382,434.0163574,0.02184774913,434.0163574,0.02182635292,
432.9406738,0.1703888476,432.9406738,0.02071368694,432.9406738,0.02057285234,
432.0184937,0.1704975814,432.0184937,0.01967021637,432.0184937,0.01963124238,
430.9424438,0.1705542356,430.9424438,0.01863062568,430.9424438,0.01851048134,
430.0199585,0.1704904884,430.0199585,0.01765856706,430.0199585,0.01744347811,
428.943512,0.1706739068,428.943512,0.01652066782,428.943512,0.01632882468,
428.0207214,0.1706240922,428.0207214,0.01599650085,428.0207214,0.01580590941,
426.9439087,0.1706806123,426.9439087,0.01491086744,426.9439087,0.01507463958,
426.020752,0.1705064327,426.020752,0.01448471099,426.020752,0.01450098399,
424.943573,0.1705600619,424.943573,0.01365472656,424.943573,0.0136627676,
424.0201111,0.1699915826,424.0201111,0.01351052802,424.0201111,0.01340716984,
422.9425659,0.1699783653,422.9425659,0.012957762,422.9425659,0.01286192052,
422.0187988,0.1700503528,422.0187988,0.01272707526,422.0187988,0.01286999974,
420.9408569,0.1695492864,420.9408569,0.01225397922,420.9408569,0.01236537378,
420.0167847,0.1690897793,420.0167847,0.01217077859,420.0167847,0.01216186024,
418.9384766,0.1691849232,418.9384766,0.01184478588,418.9384766,0.01182810683,
418.0140686,0.1691843867,418.0140686,0.01154915523,418.0140686,0.01159522682,
416.9353943,0.1679543406,416.9353943,0.01153937262,416.9353943,0.01159312669,
416.0106812,0.1679095328,416.0106812,0.01132304128,416.0106812,0.01137068309,
414.9316711,0.1679599881,414.9316711,0.01108119078,414.9316711,0.01094517112,
414.0066223,0.1677346677,414.0066223,0.010900761,414.0066223,0.01093449909,
412.9272156,0.1674890667,412.9272156,0.01093561482,412.9272156,0.01098706387,
412.0018921,0.1676810384,412.0018921,0.01064203493,412.0018921,0.0106291417,
411.0763855,0.1675896943,411.0763855,0.01065720897,411.0763855,0.0105113769,
409.9964905,0.166688174,409.9964905,0.01061325241,409.9964905,0.01051113848,
409.0706787,0.1664094478,409.0706787,0.01073568873,409.0706787,0.01055508386,
407.990387,0.1664500833,407.990387,0.010420979,407.990387,0.01044264156,
407.0643005,0.1661572307,407.0643005,0.01052384172,407.0643005,0.01042357739,
405.9836731,0.1658830047,405.9836731,0.0105235232,405.9836731,0.01043248642,
405.057251,0.165461421,405.057251,0.01060548052,405.057251,0.01039154921,
403.9762573,0.1646261811,403.9762573,0.01044250932,403.9762573,0.01042580511,
403.04953,0.1645543724,403.04953,0.01031427085,403.04953,0.01029651053,
401.9682007,0.1643850505,401.9682007,0.0103232041,401.9682007,0.01071141101,
401.0411682,0.1645200104,401.0411682,0.01027949341,401.0411682,0.01019282732,
399.9594727,0.1645167172,399.9594727,0.0104129985,399.9594727,0.01021365728,
